country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Latvia,LV,LVA,1919968,2020-10-14T00:00:00.0000000,75,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-14T00:00:00.0000000,44,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-14T00:00:00.0000000,,340,Other Website
Norway,NO,NOR,5328212,2020-10-14T00:00:00.0000000,23,,Country_API
Poland,PL,POL,37972812,2020-10-14T00:00:00.0000000,6084,,Country_Website
Portugal,PT,PRT,10276617,2020-10-14T00:00:00.0000000,957,135,Country_Website
Romania,RO,ROU,19414458,2020-10-14T00:00:00.0000000,,686,Country_Website
Slovakia,SK,SVK,5450421,2020-10-14T00:00:00.0000000,397,,JRC
Slovenia,SI,SVN,2080908,2020-10-14T00:00:00.0000000,210,35,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-14T00:00:00.0000000,5376,,Country_Website
Belgium,BE,BEL,11455519,2020-10-13T00:00:00.0000000,1621,281,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-13T00:00:00.0000000,1221,65,External_Github
Croatia,HR,HRV,4076246,2020-10-13T00:00:00.0000000,424,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-13T00:00:00.0000000,2678,518,Country_Website
Denmark,DK,DNK,5806081,2020-10-13T00:00:00.0000000,103,19,Country_Website
Estonia,EE,EST,1324820,2020-10-13T00:00:00.0000000,34,3,Country_API
France,FR,FRA,67012883,2020-10-13T00:00:00.0000000,8928,1633,Country_Website
Hungary,HU,HUN,9772756,2020-10-13T00:00:00.0000000,1519,160,JRC
Ireland,IE,IRL,4904240,2020-10-13T00:00:00.0000000,240,31,Country_Website
Italy,IT,ITA,60359546,2020-10-13T00:00:00.0000000,5590,514,Country_Github
Latvia,LV,LVA,1919968,2020-10-13T00:00:00.0000000,70,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-13T00:00:00.0000000,46,3,Country_Website
Netherlands,NL,NLD,17282163,2020-10-13T00:00:00.0000000,,321,Other Website
Norway,NO,NOR,5328212,2020-10-13T00:00:00.0000000,27,,Country_API
Poland,PL,POL,37972812,2020-10-13T00:00:00.0000000,5669,,Country_Website
Portugal,PT,PRT,10276617,2020-10-13T00:00:00.0000000,916,132,Country_Website
Romania,RO,ROU,19414458,2020-10-13T00:00:00.0000000,,651,Country_Website
Slovakia,SK,SVK,5450421,2020-10-13T00:00:00.0000000,397,,JRC
Slovenia,SI,SVN,2080908,2020-10-13T00:00:00.0000000,180,31,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-13T00:00:00.0000000,5030,,Country_Website
Belgium,BE,BEL,11455519,2020-10-12T00:00:00.0000000,1473,268,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-12T00:00:00.0000000,1205,62,External_Github
Croatia,HR,HRV,4076246,2020-10-12T00:00:00.0000000,404,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-12T00:00:00.0000000,2503,467,Country_Website
Denmark,DK,DNK,5806081,2020-10-12T00:00:00.0000000,107,19,Country_Website
Estonia,EE,EST,1324820,2020-10-12T00:00:00.0000000,32,5,Country_API
Finland,FI,FIN,5517919,2020-10-12T00:00:00.0000000,46,10,External_Github
France,FR,FRA,67012883,2020-10-12T00:00:00.0000000,8671,1539,Country_Website
Hungary,HU,HUN,9772756,2020-10-12T00:00:00.0000000,1418,154,JRC
Ireland,IE,IRL,4904240,2020-10-12T00:00:00.0000000,221,32,Country_Website
Italy,IT,ITA,60359546,2020-10-12T00:00:00.0000000,5273,452,Country_Github
Latvia,LV,LVA,1919968,2020-10-12T00:00:00.0000000,65,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-12T00:00:00.0000000,40,3,Country_Website
Netherlands,NL,NLD,17282163,2020-10-12T00:00:00.0000000,,301,Other Website
Norway,NO,NOR,5328212,2020-10-12T00:00:00.0000000,31,,Country_API
Poland,PL,POL,37972812,2020-10-12T00:00:00.0000000,5262,,Country_Website
Portugal,PT,PRT,10276617,2020-10-12T00:00:00.0000000,877,128,Country_Website
Romania,RO,ROU,19414458,2020-10-12T00:00:00.0000000,,628,Country_Website
Slovakia,SK,SVK,5450421,2020-10-12T00:00:00.0000000,393,,JRC
Slovenia,SI,SVN,2080908,2020-10-12T00:00:00.0000000,172,26,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-12T00:00:00.0000000,4741,,Country_Website
Belgium,BE,BEL,11455519,2020-10-11T00:00:00.0000000,1331,243,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-11T00:00:00.0000000,1189,59,External_Github
Croatia,HR,HRV,4076246,2020-10-11T00:00:00.0000000,384,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-11T00:00:00.0000000,2146,426,Country_Website
Denmark,DK,DNK,5806081,2020-10-11T00:00:00.0000000,102,19,Country_Website
Estonia,EE,EST,1324820,2020-10-11T00:00:00.0000000,32,5,Country_API
France,FR,FRA,67012883,2020-10-11T00:00:00.0000000,8231,1483,Country_Website
Hungary,HU,HUN,9772756,2020-10-11T00:00:00.0000000,1252,138,JRC
Ireland,IE,IRL,4904240,2020-10-11T00:00:00.0000000,201,30,Country_Website
Italy,IT,ITA,60359546,2020-10-11T00:00:00.0000000,4939,420,Country_Github
Latvia,LV,LVA,1919968,2020-10-11T00:00:00.0000000,61,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-11T00:00:00.0000000,36,3,Country_Website
Netherlands,NL,NLD,17282163,2020-10-11T00:00:00.0000000,,279,Other Website
Poland,PL,POL,37972812,2020-10-11T00:00:00.0000000,4924,,Country_Website
Portugal,PT,PRT,10276617,2020-10-11T00:00:00.0000000,843,124,Country_Website
Romania,RO,ROU,19414458,2020-10-11T00:00:00.0000000,,628,Country_Website
Slovakia,SK,SVK,5450421,2020-10-11T00:00:00.0000000,388,,JRC
Slovenia,SI,SVN,2080908,2020-10-11T00:00:00.0000000,158,27,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-11T00:00:00.0000000,4465,,Country_Website
Belgium,BE,BEL,11455519,2020-10-10T00:00:00.0000000,1257,226,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-10T00:00:00.0000000,1131,58,External_Github
Croatia,HR,HRV,4076246,2020-10-10T00:00:00.0000000,382,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-10T00:00:00.0000000,2106,438,Country_Website
Denmark,DK,DNK,5806081,2020-10-10T00:00:00.0000000,103,20,Country_Website
